index,value
76,150
77.31,150.72237
77.36,158.47791
77.43,166.63103
77.45,170.86508
77.52,181.16605
77.59,192.08803
77.62,196.96894
77.65,201.97388
77.73,212.3666
77.75,215.94899
77.79,223.29609
77.88,236.75797
77.96,248.94054
78.05,266.17016
78.12,286.9903
78.17,304.30299
78.24,328.10592
78.3,350.82411
78.38,378.26597
78.45,407.85437
78.54,439.75721
78.62,474.15553
78.65,490.29617
78.67,498.57137
78.72,524.24448
78.76,542.09019
78.78,551.23957
78.83,579.62474
78.87,599.35564
78.91,619.75819
78.99,662.6705
79.07,708.55408
79.15,763.98482
79.26,823.74459
79.33,866.16194
79.42,918.41317
79.51,973.81646
79.63,1049.9895
79.75,1122.6812
79.86,1190.4069
79.94,1241.2682
80.07,1338.3616
80.16,1407.2783
80.19,1431.0303
80.27,1504.7188
80.39,1608.9062
80.49,1691.7541
80.61,1824.1013
80.71,1918.0304
80.74,1950.4029
80.77,1983.3217
80.87,2085.4496
80.91,2120.6477
81.05,2267.4823
81.22,2444.8473
81.26,2486.1114
81.37,2614.1296
81.56,2818.6098
81.6,2866.1822
81.72,3013.7715
81.92,3249.5122
81.97,3304.3573
82.14,3533.1524
82.22,3653.4238
82.44,3939.1988
82.49,4005.6845
82.72,4319.0138
82.92,4618.0641
83.11,4937.8207
83.16,5021.1612
83.27,5192.0856
83.32,5279.7175
83.53,5645.2873
83.69,5935.9819
83.8,6138.0476
84.08,6618.1728
84.26,6900.9402
84.49,7317.2395
84.68,7694.0286
84.74,7823.8882
84.93,8226.7663
85.19,8870.3526
85.45,9564.2871
85.59,9889.8633
85.94,10663.46
86.3,11401.7
86.5,11888.848
87,12605.818
87.5,13254.579
88,13820.523
88.5,14290.474
89.1,14531.02
89.7,14652.284
90.5,14774.428
91.5,14897.457
92.7,14896.127
93.9,14647.445
94.2,14525.055
95.3,13928.52
96.3,13134.795
96.9,12595.807
97.5,11583.69
97.8,10832.989
98,10388.734
98.1,9962.6976
98.5,9239.3616
98.6,8860.4605
98.8,8355.9899
98.9,8013.3153
99.1,7684.6937
99.3,7308.1008
99.4,6834.5478
99.6,6499.6168
99.8,6181.0993
100,5780.5741
100.1,5497.2937
100.3,5227.8957
100.5,4930.2453
100.7,4688.6357
100.8,4496.3574
101,4205.0007
101.2,3867.2176
101.4,3647.0374
101.6,3382.2765
101.6,3326.1084
101.7,3084.6457
101.9,2836.8595
101.9,2789.7488
102.1,2587.2238
102.3,2379.3949
102.3,2320.3711
102.5,2133.9782
102.7,1962.5581
102.9,1804.9079
102.9,1774.9345
103.1,1646.0811
103.3,1513.8532
103.3,1476.3002
103.5,1380.6384
103.7,1302.0317
103.9,1207.5092
104.1,1119.8487
104.3,1047.2843
104.5,979.42196
104.7,908.31969
105.1,835.34791
105.5,794.40411
105.7,774.69103
106.6,712.44186
107.5,660.70363
108,633.60288
110.2,602.50978
111.9,633.5124
114.4,666.09839
116.7,700.36675
118.5,724.18195
119.8,742.57661
121.1,761.43851
123.5,793.94331
126.3,827.82831
129.4,863.1595
132.6,899.99861
135.1,930.60207
136.9,954.23992
139.2,986.69661
142.5,1028.8174
146.5,1072.7267
151.3,1127.9045
156.5,1185.9206
158.3,1205.915
162.6,1257.3939
168.5,1322.0705
170.6,1344.3604
172.7,1367.026
178.3,1425.3826
181.3,1461.5881
186.3,1523.9814
189.3,1562.6915
195.3,1629.4007
202.3,1698.9577
209.3,1771.4681
217.3,1847.0732
227.3,1942.0812
238.3,2041.976
247.3,2129.1263
251.3,2165.023
255.3,2201.5249
259.3,2238.6422
269.3,2334.2069
276.3,2413.6006
287.3,2516.634
291.3,2559.064
296.3,2602.2093
308.3,2713.2942
313.3,2759.0399
318.3,2805.5568
331.3,2925.3223
339.3,2999.6273
353.3,3127.6774
367.3,3261.1938
378.3,3344.0002
390.3,3428.9093
409.3,3575.2529
424.3,3696.8255
442.3,3854.6381
450.3,3919.6266
473.3,4086.9138
497.3,4261.3407
506.3,4333.1861
516.3,4406.2429
526.3,4480.5313
536.3,4556.0723
560.3,4750.565
586.3,4953.3603
613.3,5121.7482
625.3,5208.0999
637.3,5295.9076
650.3,5385.1956
676.3,5568.3133
689.3,5662.194
703.3,5757.6576
741.3,6003.3908
756.3,6104.6069
797.3,6365.1477
813.3,6472.4629
830.3,6581.5875
875.3,6920.1865
918.3,7215.6001
956.3,7460.9587
1016.3,7844.7281
