index,value
4,1.35E-06
10,1.36601E-06
10.45455,1.37046E-06
10.90909,1.37351E-06
11.36364,1.37804E-06
11.81818,1.38047E-06
12.27273,1.38177E-06
12.72727,1.38496E-06
13.18182,1.3895E-06
13.63636,1.39131E-06
14.09091,1.39419E-06
14.54545,1.40054E-06
15,1.40499E-06
15.45455,1.41463E-06
15.90909,1.42213E-06
16.36364,1.43885E-06
16.81818,1.45172E-06
17.27273,1.46443E-06
17.72727,1.47524E-06
18.18182,1.4924E-06
18.63636,1.51513E-06
19.09091,1.53627E-06
19.54545,1.55979E-06
20,1.58331E-06
20.45455,1.61175E-06
20.90909,1.64592E-06
21.36364,1.68009E-06
21.81818,1.70901E-06
22.27273,1.74306E-06
22.72727,1.78756E-06
23.18182,1.82666E-06
23.63636,1.87785E-06
24.09091,1.91911E-06
24.54545,1.96728E-06
25,2.02176E-06
25.45455,2.07227E-06
25.90909,2.13686E-06
26.36364,2.196E-06
26.81818,2.25885E-06
27.27273,2.32353E-06
27.72727,2.40292E-06
28.18182,2.47789E-06
28.63636,2.55927E-06
29.09091,2.64305E-06
29.54545,2.73677E-06
30,2.83244E-06
30.45455,2.93585E-06
30.90909,3.03383E-06
31.36364,3.14654E-06
31.81818,3.26621E-06
32.27273,3.3793E-06
32.72727,3.50453E-06
33.18182,3.62522E-06
33.63636,3.76517E-06
34.09091,3.90048E-06
34.54545,4.05519E-06
35,4.19994E-06
35.45455,4.35884E-06
35.90909,4.52614E-06
36.36364,4.68616E-06
36.81818,4.85169E-06
37.27273,5.03562E-06
37.72727,5.2248E-06
38.18182,5.41624E-06
38.63636,5.62269E-06
39.09091,5.82738E-06
39.54545,6.04373E-06
40,6.26434E-06
40.45455,6.47688E-06
40.90909,6.71855E-06
41.36364,6.96178E-06
41.81818,7.21811E-06
42.27273,7.48145E-06
42.72727,7.7361E-06
43.18182,7.9966E-06
43.63636,8.28251E-06
44.09091,8.56758E-06
44.54545,8.84676E-06
45,9.15194E-06
45.45455,9.42396E-06
45.90909,9.73447E-06
46.36364,1.00805E-05
46.81818,1.04065E-05
47.27273,1.07374E-05
47.72727,1.10453E-05
48.18182,1.13865E-05
48.63636,1.1745E-05
49.09091,1.20981E-05
49.54545,1.24587E-05
50,1.2832E-05
50.45455,1.32019E-05
50.90909,1.3598E-05
51.36364,1.39939E-05
51.81818,1.43931E-05
52.19482,1.4749E-05
52.51176,1.50515E-05
52.8287,1.53548E-05
53.14565,1.5659E-05
53.46259,1.59647E-05
53.77953,1.62724E-05
54.09647,1.65825E-05
54.41341,1.68955E-05
54.73036,1.72118E-05
55.0473,1.7532E-05
55.36424,1.7857E-05
55.68118,1.81882E-05
55.99812,1.85269E-05
56.31507,1.88742E-05
56.63201,1.92288E-05
56.94895,1.9588E-05
57.26589,1.99492E-05
57.58283,2.03101E-05
57.89977,2.06703E-05
58.21672,2.103E-05
58.53366,2.13892E-05
58.8506,2.17486E-05
59.16754,2.21098E-05
59.48448,2.24746E-05
59.80143,2.2845E-05
60.11837,2.32214E-05
60.43531,2.36027E-05
60.75225,2.39873E-05
61.06919,2.43737E-05
61.38614,2.47609E-05
61.70308,2.51485E-05
62.02002,2.55358E-05
62.33696,2.59227E-05
62.6539,2.631E-05
62.97085,2.66998E-05
63.28779,2.70943E-05
63.60473,2.74954E-05
63.92167,2.79025E-05
64.23861,2.83138E-05
64.55556,2.87275E-05
64.8725,2.91421E-05
65.18944,2.95573E-05
65.50638,2.99735E-05
65.82332,3.03911E-05
66.14027,3.08105E-05
66.45721,3.12322E-05
66.77415,3.16568E-05
67.09109,3.20851E-05
67.40803,3.25172E-05
67.72497,3.29529E-05
68.04192,3.33916E-05
68.35886,3.38331E-05
68.6758,3.42772E-05
68.99274,3.4724E-05
69.30968,3.51737E-05
69.62663,3.56264E-05
69.94357,3.6082E-05
70.26051,3.65397E-05
70.57745,3.69991E-05
70.89439,3.74597E-05
71.21134,3.79211E-05
71.52828,3.83835E-05
71.84522,3.88471E-05
72.16216,3.93119E-05
72.4791,3.9778E-05
72.79605,4.02457E-05
73.11299,4.0715E-05
73.42993,4.11859E-05
73.74687,4.16586E-05
74.06381,4.21327E-05
