index,value
0,0.012961
1,0.012961
2,0.026659
3,0.051779
4,0.091378
5,0.14905
6,0.22893
7,0.33569
8,0.47454
9,0.65124
10,0.87208
11,1.1439
12,1.474
13,1.04
14,2.15
15,2.62
16,3.42
17,4.54
18,5.1605
19,5.55
20,6.92
21,8.66
22,9.16
23,11.238
24,12.99
25,14.901
26,16.965
27,19.177
28,21.529
29,24.016
30,26.631
31,29.369
32,32.224
33,35.19
34,38.26
35,41.428
36,44.689
37,48.036
38,51.463
39,54.965
40,58.535
41,62.167
42,65.855
43,69.594
44,73.377
45,77.199
46,81.052
47,84.932
48,88.833
49,92.748
50,96.672
51,100.6
52,104.52
53,108.44
54,112.33
55,116.21
56,120.06
57,123.88
58,127.66
59,131.39
60,135.08
61,138.48
62,142.24
63,145.94
64,149.59
65,153.19
66,156.73
67,160.23
68,163.68
69,167.07
70,170.42
71,173.72
72,176.97
73,180.17
74,183.33
75,186.44
76,189.51
77,192.53
78,195.5
79,198.43
80,201.32
81,204.17
82,206.97
83,209.73
84,212.45
85,215.12
86,217.76
87,220.36
88,222.91
89,225.43
90,227.91
91,230.35
92,232.76
93,235.12
94,237.45
95,239.75
96,242
97,244.23
98,246.41
99,248.57
100,250.69
101,252.77
102,254.83
103,256.85
104,258.84
105,260.79
106,262.72
107,264.61
108,266.48
109,268.31
110,270.12
111,271.89
112,273.64
113,275.36
114,277.05
115,278.71
116,280.35
117,281.96
118,283.54
119,285.1
120,286.63
121,288.13
122,289.61
123,291.07
124,292.51
125,293.92
126,295.3
127,296.67
128,298.01
129,299.33
130,300.62
131,301.9
132,303.15
133,304.39
134,305.6
135,306.79
136,307.97
137,309.12
138,310.26
139,311.37
140,312.47
141,313.55
142,314.61
143,315.66
144,316.68
145,317.69
146,318.69
147,319.67
148,320.63
149,321.57
150,322.5
151,323.42
152,324.32
153,325.21
154,326.08
155,326.94
156,327.78
157,328.61
158,329.43
159,330.23
160,331.03
161,331.81
162,332.57
163,333.33
164,334.07
165,334.81
166,335.53
167,336.24
168,336.94
169,337.63
170,338.31
171,338.98
172,339.64
173,340.29
174,340.93
175,341.56
176,342.18
177,342.8
178,343.4
